_id,agrupamento,desvio_padrao,duvida,fonte,id_estudante,id_fonte,id_questionario,media_duvida,método
6308d88c1cadee1d899eb4fc,False,null,1,EV1,3,38,5,null,casos
6308d88c1cadee1d899eb4fd,False,null,1,EV2,3,38,5,null,casos
6308d88d1cadee1d899eb4fe,False,null,1,EV3,3,38,5,null,casos
6308d88d1cadee1d899eb4ff,False,null,1,EV4,3,38,5,null,casos
6308d88d1cadee1d899eb500,False,null,1,EV5,3,38,5,null,casos
6308d88d1cadee1d899eb501,False,0,5,questao,3,38,5,1,casos
6308d88d1cadee1d899eb502,False,null,1,EV1,3,39,5,null,casos
6308d88d1cadee1d899eb503,False,null,1,EV2,3,39,5,null,casos
6308d88d1cadee1d899eb504,False,null,1,EV3,3,39,5,null,casos
6308d88d1cadee1d899eb505,False,null,1,EV4,3,39,5,null,casos
6308d88d1cadee1d899eb506,False,null,1,EV5,3,39,5,null,casos
6308d88d1cadee1d899eb507,False,0,5,questao,3,39,5,1,casos
6308d88d1cadee1d899eb508,False,null,1,EF1,3,40,5,null,casos
6308d88d1cadee1d899eb509,False,0,1,questao,3,40,5,1,casos
6308d88e1cadee1d899eb50a,False,null,1,EF1,3,41,5,null,casos
6308d88e1cadee1d899eb50b,False,0,1,questao,3,41,5,1,casos
6308d88e1cadee1d899eb50c,False,2.5487435630129602,55,3,3,Média,5,3.4375,casos
6308d8921cadee1d899eb535,False,null,48,EV1,5,38,5,null,casos
6308d8931cadee1d899eb536,False,null,69,EV2,5,38,5,null,casos
6308d8931cadee1d899eb537,False,null,81,EV3,5,38,5,null,casos
6308d8931cadee1d899eb538,False,null,72,EV4,5,38,5,null,casos
6308d8931cadee1d899eb539,False,null,70,EV5,5,38,5,null,casos
6308d8931cadee1d899eb53a,False,10.862780491200215,340,questao,5,38,5,68,casos
6308d8931cadee1d899eb53b,False,null,8,EV1,5,39,5,null,casos
6308d8931cadee1d899eb53c,False,null,9,EV2,5,39,5,null,casos
6308d8931cadee1d899eb53d,False,null,21,EV3,5,39,5,null,casos
